,Player,Team,DYAR,DVOA,QBR,Passes,EYds,TD,INT,C%,Year
0,D.Marino,MIA,"1,693",29.2%,,643,"5,675",44,22,60.6%,1986
1,B.Esiason,CIN,"1,268",28.6%,,502,"4,303",24,17,58.3%,1986
2,T.Kramer,MIN,"1,093",32.8%,,404,"3,487",24,10,56.1%,1986
3,J.Schroeder,WAS,"1,088",18.7%,,572,"4,413",22,21,51.2%,1986
4,B.Kosar,CLE1,"1,044",17.8%,,571,"4,348",17,9,58.5%,1986
5,J.Elway,DEN,826,13.7%,,541,"3,822",19,13,55.6%,1986
6,T.Eason,NE,805,14.9%,,492,"3,584",19,10,62.0%,1986
7,D.Krieg,SEA,786,20.3%,,412,"3,081",21,10,60.2%,1986
8,D.Fouts,SD,629,11.1%,,452,"3,144",16,22,58.6%,1986
9,K.O'Brien,NYJ,591,5.8%,,526,"3,607",25,20,62.2%,1986
10,J.Montana,SF,501,13.8%,,319,"2,308",8,9,62.2%,1986
11,J.Plunkett,LARD,447,14.3%,,280,"2,022",14,9,52.6%,1986
12,J.Kemp,SF,353,16.7%,,208,"1,504",11,8,59.5%,1986
13,M.Malone,PIT,352,1.2%,,440,"2,767",15,17,50.9%,1986
14,P.Simms,NYG,346,-0.1%,,514,"2,992",21,22,55.6%,1986
15,J.Kelly,BUF,321,-1.6%,,525,"3,157",22,16,59.4%,1986
16,R.Wright,GB,319,-1.3%,,527,"3,052",17,22,53.5%,1986
17,E.Hipple,DET,199,-1.6%,,327,"1,954",9,9,63.0%,1986
18,D.Archer,ATL,177,-2.5%,,331,"1,884",10,8,51.4%,1986
19,W.Moon,HOIL,139,-6.9%,,534,"2,827",13,24,52.5%,1986
20,D.Wilson,NO,123,-5.7%,,366,"2,003",10,17,55.4%,1986
21,S.Young,TB,-22,-12.0%,,414,"2,023",8,13,53.9%,1986
22,R.Jaworski,PHI,-36,-13.2%,,269,"1,349",8,6,52.4%,1986
23,S.Pelluer,DAL,-78,-14.1%,,429,"2,038",8,16,57.1%,1986
24,B.Kenney,KC,-104,-15.9%,,336,"1,636",13,11,52.3%,1986
25,M.Wilson,LARD,-163,-20.4%,,276,"1,200",12,15,53.9%,1986
26,N.Lomax,STLC,-200,-18.1%,,478,"2,072",13,12,57.0%,1986
27,T.Blackledge,KC,-249,-28.1%,,238,842,10,6,45.5%,1986
28,R.Cunningham,PHI,-438,-38.7%,,284,696,8,6,53.4%,1986
29,J.Trudeau,IND,-625,-34.3%,,451,"1,319",8,17,49.0%,1986
30,S.Grogan,NE,382,46.2%,,105,"1,058",9,2,61.4%,1986
31,W.Wilson,MIN,332,23.1%,,157,"1,235",7,4,55.9%,1986
32,D.White,DAL,300,16.6%,,166,"1,268",12,5,61.3%,1986
33,J.Everett,LARM,217,10.9%,,155,"1,087",8,8,49.7%,1986
34,P.Ryan,NYJ,142,20.3%,,60,558,2,1,61.8%,1986
35,M.Herrmann,SD,115,5.9%,,103,699,2,3,52.6%,1986
36,G.Hogeboom,IND,114,0.1%,,162,962,6,6,59.0%,1986
37,D.Strock,MIA,112,68.8%,,21,266,2,0,70.0%,1986
38,C.Stoudt,STLC,99,5.4%,,98,614,3,5,57.1%,1986
39,B.Kiel,IND,71,33.4%,,30,215,2,0,44.0%,1986
40,K.Anderson,CIN,42,14.6%,,24,191,1,2,47.8%,1986
41,G.Gilbert,SEA,11,-9.1%,,80,431,3,2,55.3%,1986
42,D.Flutie,CHI,-5,-12.6%,,53,255,3,2,50.0%,1986
43,R.Hilger,LARD,-9,-14.3%,,42,202,1,1,48.7%,1986
44,J.McMahon,CHI,-18,-13.0%,,156,761,5,8,51.3%,1986
45,S.Bartkowski,LARM,-21,-13.4%,,140,702,2,3,48.8%,1986
46,G.Kubiak,DEN,-23,-19.4%,,41,195,1,2,60.5%,1986
47,S.Dils,LARM,-26,-14.3%,,136,634,4,4,45.7%,1986
48,C.Long,DET,-54,-28.7%,,48,172,2,2,52.5%,1986
49,M.Moroski,SF,-59,-22.7%,,80,331,2,3,57.5%,1986
50,R.Collier,DAL,-77,-69.5%,,18,1,1,2,53.3%,1986
51,V.Ferragamo,GB,-81,-39.0%,,43,124,1,3,57.5%,1986
52,F.Reich,BUF,-82,-71.0%,,21,-1,0,2,47.4%,1986
53,C.Fusina,GB,-89,-47.2%,,36,70,0,1,59.4%,1986
54,S.DeBerg,TB,-94,-25.2%,,105,396,5,12,52.6%,1986
55,S.Fuller,CHI,-106,-34.8%,,73,217,2,4,53.1%,1986
56,B.Brister,PIT,-120,-42.6%,,66,143,0,2,35.0%,1986
57,J.Ferguson,DET,-123,-22.9%,,168,673,7,7,46.8%,1986
58,T.Schonert,ATL,-124,-22.4%,,176,717,4,8,61.7%,1986
59,T.Flick,SD,-137,-39.9%,,79,196,2,7,45.2%,1986
60,M.Tomczak,CHI,-149,-26.2%,,155,594,2,10,49.3%,1986
61,M.Cavanaugh,PHI,-155,-46.5%,,68,142,2,4,48.3%,1986
62,O.Luck,HOIL,-224,-66.8%,,68,19,1,5,50.8%,1986
63,B.Hebert,NO,-227,-54.4%,,86,113,2,8,50.6%,1986
64,B.Kosar,CLE1,"1,284",36.3%,,410,"3,924",22,9,62.1%,1987
65,D.Marino,MIA,"1,224",30.4%,,456,"4,043",26,13,59.2%,1987
66,J.Montana,SF,988,29.3%,,374,"3,312",26,11,65.5%,1987
67,J.Elway,DEN,783,18.4%,,429,"3,198",19,12,54.8%,1987
68,N.Lomax,STLC,676,10.1%,,513,"3,482",24,12,59.8%,1987
69,B.Hebert,NO,629,21.6%,,314,"2,402",15,9,55.8%,1987
70,B.Kenney,KC,461,13.2%,,294,"2,153",15,9,56.8%,1987
71,B.Esiason,CIN,438,3.7%,,468,"2,959",16,18,55.0%,1987
72,P.Simms,NYG,420,10.8%,,316,"2,118",17,9,58.0%,1987
73,J.Kelly,BUF,391,2.8%,,443,"2,783",19,11,60.0%,1987
74,J.McMahon,CHI,371,13.2%,,233,"1,730",12,8,59.8%,1987
75,S.DeBerg,TB,358,7.4%,,296,"2,051",14,7,58.0%,1987
76,W.Moon,HOIL,338,2.7%,,394,"2,436",21,17,50.5%,1987
77,M.Wilson,LARD,314,5.8%,,298,"1,911",12,8,57.8%,1987
78,D.Williams,WAS,301,20.2%,,150,"1,185",11,5,56.6%,1987
79,K.O'Brien,NYJ,297,-0.6%,,444,"2,672",13,8,59.7%,1987
80,J.Everett,LARM,277,2.5%,,319,"2,021",10,12,53.6%,1987
81,D.Fouts,SD,240,-1.6%,,394,"2,354",10,13,56.3%,1987
82,D.Krieg,SEA,235,0.2%,,323,"1,987",23,15,60.5%,1987
83,W.Wilson,MIN,147,-3.0%,,291,"1,651",14,13,53.2%,1987
84,J.Schroeder,WAS,140,-3.2%,,283,"1,605",12,10,48.9%,1987
85,S.Grogan,NE,126,0.0%,,173,"1,086",10,8,57.8%,1987
86,D.White,DAL,125,-5.3%,,362,"1,909",11,15,59.3%,1987
87,M.Tomczak,CHI,124,-0.6%,,187,"1,119",5,9,54.5%,1987
88,J.Trudeau,IND,63,-7.0%,,246,"1,298",6,6,56.1%,1987
89,R.Cunningham,PHI,22,-10.4%,,462,"2,293",23,12,55.1%,1987
90,T.Ramsey,NE,20,-9.1%,,149,824,6,6,53.0%,1987
91,S.Campbell,ATL,-67,-14.8%,,285,"1,402",11,12,52.3%,1987
92,R.Wright,GB,-83,-16.4%,,268,"1,163",6,11,53.4%,1987
93,V.Testaverde,TB,-153,-24.4%,,188,725,5,4,42.8%,1987
94,C.Long,DET,-168,-17.0%,,443,"2,081",11,18,55.9%,1987
95,M.Malone,PIT,-621,-39.0%,,360,952,6,18,46.4%,1987
96,S.Young,SF,326,54.0%,,72,848,10,0,53.6%,1987
97,D.Wilson,NO,113,60.3%,,26,280,2,0,54.2%,1987
98,G.Hogeboom,IND,79,-1.4%,,120,762,4,4,58.3%,1987
99,D.Strock,MIA,45,18.1%,,23,185,0,0,56.5%,1987
100,S.Pelluer,DAL,44,-4.5%,,107,602,3,2,54.5%,1987
101,T.Kramer,MIN,-6,-12.2%,,89,434,4,3,49.4%,1987
102,J.Harbaugh,CHI,-14,-26.4%,,15,54,0,0,72.7%,1987
103,B.Pease,HOIL,-22,-41.7%,,14,28,0,1,50.0%,1987
104,S.Dils,LARM,-33,-22.9%,,42,180,1,2,48.7%,1987
105,T.Eason,NE,-33,-17.0%,,87,418,3,2,53.2%,1987
106,D.Majkowski,GB,-68,-19.4%,,139,570,5,3,44.0%,1987
107,S.Salisbury,IND,-91,-105.3%,,14,-46,0,2,66.7%,1987
108,J.Rutledge,NYG,-99,-24.2%,,122,474,5,9,57.4%,1987
109,T.Blackledge,KC,-140,-72.1%,,39,-6,1,1,50.0%,1987
110,B.Brister,PIT,-149,-212.8%,,14,-143,0,2,33.3%,1987
111,D.Archer,ATL,-161,-116.8%,,26,-96,0,2,39.1%,1987
112,M.Herrmann,SD,-170,-54.7%,,63,73,1,5,63.8%,1987
113,R.Hilger,LARD,-184,-36.0%,,118,368,2,6,52.4%,1987
114,C.Miller,ATL,-229,-50.8%,,97,154,1,9,42.9%,1987
115,F.Seurer,KC,-245,-69.5%,,66,5,0,4,47.3%,1987
116,D.Marino,MIA,"1,476",24.6%,,618,"5,334",28,22,58.4%,1988
117,B.Esiason,CIN,"1,324",37.5%,,419,"3,993",28,12,57.6%,1988
118,J.Everett,LARM,"1,281",23.6%,,545,"4,712",31,17,59.6%,1988
119,B.Hebert,NO,896,17.1%,,503,"3,774",20,13,58.6%,1988
120,W.Moon,HOIL,819,32.7%,,307,"2,618",17,8,54.6%,1988
121,N.Lomax,PHX,780,14.5%,,489,"3,520",20,11,58.0%,1988
122,D.Williams,WAS,729,17.9%,,389,"3,007",15,12,56.3%,1988
123,J.Elway,DEN,720,10.8%,,529,"3,623",17,18,55.2%,1988
124,W.Wilson,MIN,708,19.8%,,366,"2,810",15,8,61.4%,1988
125,J.Montana,SF,662,13.1%,,432,"3,094",18,10,59.9%,1988
126,J.Kelly,BUF,626,9.6%,,484,"3,289",15,17,59.4%,1988
127,S.Pelluer,DAL,482,6.2%,,458,"2,883",17,19,56.5%,1988
128,D.Krieg,SEA,475,20.7%,,238,"1,847",18,8,59.3%,1988
129,P.Simms,NYG,398,1.1%,,532,"3,179",21,11,55.0%,1988
130,R.Cunningham,PHI,389,-1.2%,,619,"3,683",25,16,53.7%,1988
131,K.O'Brien,NYJ,368,1.1%,,465,"2,922",15,7,55.8%,1988
132,M.Rypien,WAS,355,13.6%,,222,"1,632",18,13,55.1%,1988
133,S.DeBerg,KC,328,0.7%,,444,"2,687",16,16,54.1%,1988
134,B.Kosar,CLE1,260,2.9%,,284,"1,851",10,7,60.2%,1988
135,C.Chandler,IND,123,-3.6%,,257,"1,478",8,12,55.6%,1988
136,S.Beuerlein,LARD,91,-5.3%,,265,"1,385",8,6,44.1%,1988
137,J.McMahon,CHI,90,-4.3%,,205,"1,184",6,7,59.4%,1988
138,D.Majkowski,GB,42,-9.3%,,368,"1,955",9,11,53.1%,1988
139,C.Miller,ATL,27,-10.0%,,375,"1,968",11,12,52.7%,1988
140,B.Brister,PIT,-22,-12.0%,,401,"2,011",11,14,48.2%,1988
141,M.Malone,SD,-156,-19.7%,,286,"1,261",6,12,54.2%,1988
142,V.Testaverde,TB,-202,-17.8%,,500,"2,186",13,34,47.7%,1988
143,J.Schroeder,LARD,-224,-24.8%,,274,"1,021",13,11,44.3%,1988
144,R.Hilger,DET,-294,-25.6%,,341,"1,261",7,10,41.3%,1988
145,R.Wright,GB,-432,-36.9%,,266,764,4,13,58.2%,1988
146,M.Tomczak,CHI,386,22.8%,,175,"1,441",7,6,50.9%,1988
147,D.Strock,CLE1,172,17.6%,,97,709,6,5,60.4%,1988
148,J.Ferguson,TB,149,35.9%,,47,458,3,1,67.4%,1988
149,G.Hogeboom,IND,141,4.8%,,145,901,7,7,58.0%,1988
150,P.Ryan,NYJ,101,1.7%,,118,773,5,4,55.8%,1988
151,M.Pagel,CLE1,84,-1.9%,,135,849,3,3,53.0%,1988
152,R.Jaworski,MIA,81,71.4%,,15,188,1,0,64.3%,1988
153,T.Kramer,MIN,59,-6.0%,,186,998,5,9,48.3%,1988
154,E.Hipple,DET,51,19.3%,,30,205,0,0,44.4%,1988
155,S.Young,SF,50,-4.2%,,117,647,3,3,53.5%,1988
156,K.Karcher,DEN,47,45.3%,,12,131,1,0,50.0%,1988
157,G.Kubiak,DEN,23,-6.5%,,74,445,5,3,62.3%,1988
158,G.Danielson,CLE1,20,-5.7%,,58,327,0,1,59.6%,1988
159,J.Hostetler,NYG,11,-6.2%,,34,189,1,2,55.2%,1988
160,D.Wilson,NO,-9,-20.4%,,16,67,0,1,31.3%,1988
161,M.Cavanaugh,PHI,-14,-25.0%,,16,61,1,1,43.8%,1988
162,D.White,DAL,-15,-16.0%,,47,229,1,3,69.0%,1988
163,T.Blackledge,PIT,-21,-15.3%,,84,386,2,3,48.7%,1988
164,K.Stouffer,SEA,-23,-13.2%,,190,878,4,6,56.6%,1988
